Round,Player 1 Hand Size,Computer Hand Size
1,26,26
2,21,31
3,20,32
4,19,33
5,20,32
6,21,31
7,20,32
8,21,31
9,22,30
10,23,29
11,22,30
12,21,31
13,20,32
14,19,33
15,18,34
16,17,35
17,16,36
18,15,37
19,14,38
20,19,33
21,20,32
22,19,33
23,18,34
24,19,33
25,18,34
26,19,33
27,20,32
28,21,31
29,20,32
30,21,31
31,22,30
32,21,31
33,20,32
34,19,33
35,18,34
36,19,33
37,18,34
38,19,33
39,18,34
40,19,33
41,18,34
42,19,33
43,18,34
44,19,33
45,18,34
46,19,33
47,18,34
48,19,33
49,18,34
50,19,33
51,18,34
52,19,33
53,18,34
54,23,29
55,22,30
56,23,29
57,22,30
58,23,29
59,22,30
60,23,29
61,22,30
62,23,29
63,22,30
64,23,29
65,22,30
66,23,29
67,22,30
68,23,29
69,22,30
70,21,31
71,16,36
72,15,37
73,14,38
74,15,37
75,14,38
76,15,37
77,14,38
78,15,37
79,14,38
80,15,37
81,14,38
82,15,37
83,14,38
84,15,37
85,14,38
86,13,39
87,12,40
88,13,39
89,12,40
90,13,39
91,12,40
92,13,39
93,12,40
94,13,39
95,12,40
96,13,39
97,14,38
98,15,37
99,14,38
100,15,37
101,14,38
102,15,37
103,14,38
104,15,37
105,14,38
106,19,33
107,18,34
108,19,33
109,14,38
110,15,37
111,14,38
112,13,39
113,12,40
114,13,39
115,12,40
116,11,41
117,12,40
118,17,35
119,16,36
120,17,35
121,16,36
122,17,35
123,16,36
124,17,35
125,16,36
126,25,27
127,24,28
128,23,29
129,24,28
130,23,29
131,22,30
132,21,31
133,22,30
134,23,29
135,22,30
136,21,31
137,20,32
138,21,31
139,20,32
140,21,31
141,20,32
142,19,33
143,18,34
144,19,33
145,20,32
146,21,31
147,20,32
148,19,33
149,18,34
150,19,33
151,20,32
152,21,31
153,20,32
154,21,31
155,20,32
156,19,33
157,18,34
158,19,33
159,18,34
160,19,33
161,18,34
162,19,33
163,18,34
164,19,33
165,18,34
166,19,33
167,20,32
168,21,31
169,20,32
170,21,31
171,20,32
172,25,27
173,24,28
174,23,29
175,22,30
176,23,29
177,24,28
178,23,29
179,22,30
180,23,29
181,22,30
182,27,25
183,26,26
184,31,21
185,30,22
186,35,17
187,34,18
188,35,17
189,34,18
190,35,17
191,34,18
192,35,17
193,34,18
194,33,19
195,38,14
196,39,13
197,38,14
198,37,15
199,36,16
200,37,15
201,38,14
202,39,13
203,38,14
204,39,13
205,34,18
206,35,17
207,36,16
208,35,17
209,34,18
210,33,19
211,32,20
212,33,19
213,32,20
214,31,21
215,30,22
216,31,21
217,32,20
218,33,19
219,32,20
220,31,21
221,32,20
222,37,15
223,36,16
224,37,15
225,38,14
226,43,9
227,42,10
228,43,9
229,42,10
230,43,9
231,44,8
232,45,7
233,44,8
234,45,7
235,46,6
236,47,5
237,46,6
238,47,5
239,46,6
240,47,5
241,46,6
242,45,7
243,44,8
244,45,7
245,44,8
246,43,9
247,42,10
248,41,11
249,40,12
250,39,13
251,38,14
252,39,13
253,38,14
254,39,13
255,40,12
256,41,11
257,40,12
258,41,11
259,42,10
260,43,9
261,42,10
262,43,9
263,44,8
264,43,9
265,38,14
266,39,13
267,38,14
268,39,13
269,38,14
270,37,15
271,36,16
272,37,15
273,36,16
274,37,15
275,32,20
276,33,19
277,32,20
278,33,19
279,32,20
280,33,19
281,32,20
282,31,21
283,30,22
284,21,31
285,22,30
286,27,25
287,26,26
288,27,25
289,26,26
290,27,25
291,26,26
292,27,25
293,26,26
294,27,25
295,28,24
296,29,23
297,28,24
298,29,23
299,28,24
300,29,23
301,28,24
302,27,25
303,26,26
304,27,25
305,26,26
306,27,25
307,28,24
308,27,25
309,28,24
310,27,25
311,26,26
312,27,25
313,26,26
314,27,25
315,26,26
316,27,25
317,26,26
318,27,25
319,26,26
320,27,25
321,26,26
322,27,25
323,28,24
324,29,23
325,28,24
326,29,23
327,28,24
328,29,23
329,28,24
330,33,19
331,28,24
332,29,23
333,28,24
334,29,23
335,28,24
336,29,23
337,28,24
338,29,23
339,28,24
340,29,23
341,28,24
342,29,23
343,28,24
344,29,23
345,28,24
346,29,23
347,28,24
348,27,25
349,26,26
350,25,27
351,26,26
352,25,27
353,26,26
354,25,27
355,24,28
356,23,29
357,22,30
358,23,29
359,18,34
360,19,33
361,18,34
362,19,33
363,18,34
364,19,33
365,18,34
366,19,33
367,18,34
368,19,33
369,18,34
370,19,33
371,14,38
372,15,37
373,14,38
374,15,37
375,14,38
376,15,37
377,14,38
378,15,37
379,14,38
380,15,37
381,16,36
382,17,35
383,22,30
384,23,29
385,22,30
386,23,29
387,22,30
388,23,29
389,22,30
390,23,29
391,22,30
392,27,25
393,28,24
394,29,23
395,30,22
396,29,23
397,30,22
398,35,17
399,34,18
400,35,17
401,34,18
402,35,17
403,30,22
404,29,23
405,28,24
406,29,23
407,28,24
408,29,23
409,28,24
410,27,25
411,26,26
412,27,25
413,28,24
414,29,23
415,30,22
416,31,21
417,36,16
418,35,17
419,34,18
420,33,19
421,34,18
422,33,19
423,32,20
424,33,19
425,32,20
426,33,19
427,32,20
428,33,19
429,32,20
430,33,19
431,32,20
432,33,19
433,32,20
434,33,19
435,32,20
436,33,19
437,32,20
438,33,19
439,32,20
440,33,19
441,34,18
442,35,17
443,36,16
444,37,15
445,36,16
446,37,15
447,36,16
448,37,15
449,36,16
450,35,17
451,34,18
452,35,17
453,34,18
454,35,17
455,36,16
456,37,15
457,32,20
458,33,19
459,32,20
460,33,19
461,32,20
462,33,19
463,32,20
464,33,19
465,32,20
466,33,19
467,32,20
468,33,19
469,32,20
470,31,21
471,32,20
472,31,21
473,30,22
474,29,23
475,28,24
476,29,23
477,28,24
478,29,23
479,28,24
480,29,23
481,28,24
482,29,23
483,28,24
484,29,23
485,28,24
486,29,23
487,28,24
488,29,23
489,28,24
490,29,23
491,28,24
492,27,25
493,26,26
494,27,25
495,26,26
496,25,27
497,24,28
498,25,27
499,24,28
500,25,27
501,24,28
502,25,27
503,24,28
504,25,27
505,24,28
506,25,27
507,26,26
508,27,25
509,26,26
510,27,25
511,26,26
512,27,25
513,26,26
514,27,25
515,26,26
516,27,25
517,26,26
518,27,25
519,26,26
520,27,25
521,26,26
522,27,25
523,26,26
524,27,25
525,26,26
526,25,27
527,24,28
528,25,27
529,24,28
530,25,27
531,24,28
532,25,27
533,24,28
534,25,27
535,24,28
536,25,27
537,24,28
538,25,27
539,24,28
540,25,27
541,24,28
542,25,27
543,24,28
544,25,27
545,24,28
546,25,27
547,24,28
548,25,27
549,24,28
550,25,27
551,24,28
552,25,27
553,26,26
554,27,25
555,26,26
556,27,25
557,26,26
558,27,25
559,26,26
560,27,25
561,26,26
562,27,25
563,26,26
564,27,25
565,26,26
566,27,25
567,26,26
568,27,25
569,26,26
570,31,21
571,30,22
572,31,21
573,30,22
574,31,21
575,30,22
576,31,21
577,30,22
578,31,21
579,30,22
580,31,21
581,30,22
582,31,21
583,30,22
584,31,21
585,30,22
586,31,21
587,30,22
588,31,21
589,30,22
590,31,21
591,30,22
592,31,21
593,22,30
594,23,29
595,22,30
596,27,25
597,26,26
598,27,25
599,22,30
600,23,29
601,22,30
602,23,29
603,22,30
604,23,29
605,24,28
606,23,29
607,22,30
608,23,29
609,24,28
610,23,29
611,24,28
612,23,29
613,24,28
614,23,29
615,22,30
616,27,25
617,26,26
618,25,27
619,24,28
620,23,29
621,22,30
622,23,29
623,22,30
624,23,29
625,22,30
626,23,29
627,22,30
628,23,29
629,22,30
630,21,31
631,20,32
632,21,31
633,20,32
634,25,27
635,26,26
636,25,27
637,24,28
638,25,27
639,20,32
640,19,33
641,18,34
642,17,35
643,16,36
644,17,35
645,16,36
646,17,35
647,16,36
648,17,35
649,18,34
650,19,33
651,20,32
652,21,31
653,20,32
654,21,31
655,20,32
656,21,31
657,20,32
658,21,31
659,20,32
660,21,31
661,20,32
662,25,27
663,20,32
664,21,31
665,20,32
666,21,31
667,20,32
668,21,31
669,20,32
670,21,31
671,20,32
672,21,31
673,22,30
674,27,25
675,26,26
676,27,25
677,26,26
678,27,25
679,26,26
680,27,25
681,26,26
682,31,21
683,32,20
684,41,11
685,42,10
686,43,9
687,44,8
688,43,9
689,42,10
690,47,5
691,46,6
692,47,5
693,46,6
694,41,11
695,40,12
696,41,11
697,42,10
698,41,11
699,40,12
700,41,11
701,46,6
702,47,5
703,48,4
704,49,3
705,50,2
706,51,1
707,50,2
708,49,3
